start_date,end_date,AInfluenza,AcuteBronchitis,BodyTemperature,BraunThermoscan,BreakAFever,Bronchitis,ChestCold,ColdAndFlu,ColdOrFlu,ColdVersusFlu,ColdVsFlu,ContagiousFlu,CoughFever,CureFlu,CureTheFlu,DangerousFever,DoIHaveTheFlu,EarThermometer,EarlyFluSymptoms,Expectorant,ExposedToFlu,FeverCough,FeverFlu,FeverReducer,FightTheFlu,FluAndCold,FluAndFever,FluCare,FluChildren,FluComplications,FluContagiousPeriod,FluContagious,FluCough,FluDuration,FluFever,FluGerms,FluHeadache,FluHowLong,FluInChildren,FluIncubationPeriod,FluIncubation,FluLasts,FluLength,FluMedicine,FluOrCold,FluRecovery,FluRelief,FluRemedies,FluRemedy,FluReport,FluReports,FluSymptoms,FluTest,FluTreatment,FluTreatments,FluVersusCold,FluVsCold,GetOverTheFlu,GetRidOfTheFlu,HavingTheFlu,HighFever,HowLongContagious,HowLongDoesFluLast,HowLongDoesTheFluLast,HowLongFlu,HowLongIsFluContagious,HowLongIsTheFluContagious,HowLongIsTheFlu,HowToGetRidOfTheFlu,HowToTreatFlu,HowToTreatTheFlu,HumanTemperature,IHaveTheFlu,IncubationPeriodForFlu,IncubationPeriodForTheFlu,InfluenzaAAndB,InfluenzaA,InfluenzaContagious,InfluenzaIncubationPeriod,InfluenzaIncubation,InfluenzaSymptoms,InfluenzaTreatment,InfluenzaTypeA,IsFluContagious,LowBody,MedicineForFlu,MedicineForTheFlu,NormalBodyTemperature,NormalBody,Oscillococcinum,OverTheCounterFluMedicine,OverTheCounterFlu,PainfulCough,Pneumonia,RapidFlu,ReduceAFever,ReduceFever,RemediesForFlu,RemediesForTheFlu,RespiratoryFlu,Robitussin,SignsOfFlu,SignsOfTheFlu,SinusInfections,Sinus,StrepThroat,Strep,SymptomsOfBronchitis,SymptomsOfFlu,SymptomsOfInfluenza,SymptomsOfPneumonia,SymptomsOfTheFlu,TakingTemperature,Tessalon,TheFluVirus,TheFlu,Thermoscan,TreatFlu,TreatTheFlu,TreatingFlu,TreatingTheFlu,TreatmentForFlu,TreatmentForTheFlu,Tussin,Tussionex,TypeAInfluenza,UpperRespiratory,WalkingPneumonia,WhatToDoIfYouHaveTheFlu,FluVisits
2010-04-12,2010-04-18,8,31,47,18,9,32,22,8,4,10,7,3,14,2,2,22,2,27,2,32,4,14,6,9,5,8,12,2,2,3,4,3,8,6,6,6,4,4,4,1,1,8,5,4,4,8,11,7,10,1,2,1,1,3,6,10,7,5,11,10,35,12,4,4,4,1,2,3,14,6,5,56,3,1,6,4,8,6,3,2,7,15,2,3,60,5,6,33,48,10,9,4,7,42,3,15,16,7,9,5,29,1,2,66,57,52,57,29,1,11,26,2,24,28,5,2,21,4,3,3,6,3,13,30,39,2,39,32,7,70
2010-04-19,2010-04-25,10,28,52,22,9,30,19,8,7,6,8,2,16,2,2,22,3,36,7,35,3,17,8,8,3,8,12,3,2,3,4,2,4,8,8,6,9,3,2,1,1,8,3,3,7,4,5,6,6,1,1,1,1,3,3,6,8,4,5,6,36,12,2,1,3,2,3,3,6,6,11,62,5,1,6,6,10,2,3,2,5,14,6,3,75,2,11,35,53,9,5,4,17,42,5,27,13,7,4,5,30,3,3,62,55,51,57,28,1,10,21,2,31,30,4,2,27,4,8,5,6,5,20,30,31,6,34,36,7,67
2010-04-26,2010-05-02,7,27,50,29,11,32,20,8,8,6,10,2,16,2,2,23,5,36,6,34,3,16,6,24,7,8,8,2,2,4,2,2,5,3,6,6,8,3,3,1,0,8,3,4,8,3,8,5,4,1,1,1,1,3,6,6,10,8,6,6,40,12,4,2,3,1,2,3,5,5,6,66,6,1,3,4,7,4,3,2,7,12,2,2,58,3,4,34,56,11,7,4,15,40,4,23,23,4,5,2,29,2,4,59,56,53,58,25,1,10,22,1,25,27,4,2,35,5,6,6,7,3,10,22,38,2,33,30,7,61
2010-05-03,2010-05-09,8,29,47,25,13,29,16,7,3,6,3,2,16,1,2,20,5,38,3,34,4,16,7,25,5,7,16,4,2,3,7,2,5,4,7,6,9,3,3,1,1,16,3,3,3,3,7,6,7,1,1,1,2,4,5,6,3,6,6,5,38,13,3,3,3,1,1,2,6,8,8,46,6,1,3,4,8,2,3,3,7,15,4,2,62,5,6,31,48,5,10,3,23,41,7,18,22,2,5,6,24,1,1,63,54,52,57,31,1,17,18,1,24,23,5,2,20,6,5,4,7,3,5,35,39,4,33,34,7,45
2010-05-10,2010-05-16,6,23,45,13,8,28,22,7,8,6,5,2,13,1,2,22,3,29,5,34,5,12,5,12,4,7,7,2,2,2,3,2,4,6,5,7,5,2,2,0,1,8,3,4,8,3,8,8,5,2,1,1,1,3,3,6,5,4,6,5,41,12,2,2,2,2,2,2,8,3,7,45,6,1,7,4,6,2,3,3,6,10,8,1,59,4,4,28,48,15,7,5,13,38,5,35,19,7,7,2,27,1,2,64,54,53,59,30,1,8,20,2,39,20,4,1,13,4,5,8,7,3,13,34,38,8,27,32,7,55
2010-05-17,2010-05-23,6,37,42,36,17,29,22,7,5,9,5,1,16,1,3,19,5,31,3,31,3,16,6,18,4,7,13,3,2,3,2,1,4,3,6,4,7,2,2,1,1,16,5,4,5,3,11,6,6,1,1,1,1,4,4,9,5,4,7,5,41,12,3,2,2,1,1,2,9,3,3,45,3,1,5,4,6,2,3,4,5,17,3,1,61,3,6,31,44,11,10,4,18,39,5,18,20,8,5,4,26,2,3,67,52,55,60,25,1,6,22,2,26,29,3,2,32,3,7,5,7,3,11,32,37,3,26,34,7,50
2010-05-24,2010-05-30,6,25,41,15,13,27,16,6,9,11,3,1,14,1,1,27,3,17,5,36,3,14,6,15,4,6,7,2,1,4,2,1,5,3,6,6,8,2,2,1,0,8,4,5,9,4,6,6,4,1,1,1,1,2,2,11,3,4,5,6,35,12,2,1,2,1,1,1,5,5,5,47,4,1,3,11,6,2,3,5,3,8,4,2,54,4,4,25,41,8,5,3,28,36,3,22,16,6,5,2,23,2,2,58,49,50,53,25,1,4,20,2,34,28,2,1,21,3,4,3,7,3,6,26,31,4,30,30,8,38
2010-05-31,2010-06-06,4,25,40,30,8,24,22,8,4,14,2,2,19,1,1,17,3,30,4,25,3,19,7,14,4,8,9,1,2,6,4,2,4,7,7,9,6,3,2,0,1,8,3,3,4,4,6,4,4,1,1,1,1,3,4,14,2,4,5,6,41,12,3,2,3,2,1,2,7,8,5,52,3,1,5,4,4,2,7,3,4,11,5,1,46,3,4,33,40,9,8,4,8,35,3,16,24,4,7,4,21,2,2,56,46,46,52,21,1,7,18,1,36,19,2,1,38,4,4,7,14,4,6,32,31,5,34,30,8,31
2010-06-07,2010-06-13,5,17,40,26,10,22,13,5,3,7,2,1,17,1,3,19,2,27,4,30,4,17,7,9,4,5,11,2,1,4,2,1,4,4,7,4,7,2,2,1,1,8,3,5,3,5,12,5,5,1,1,1,1,3,2,7,2,4,6,3,41,12,3,3,2,1,1,2,8,3,3,32,3,1,3,4,5,2,3,3,4,5,3,1,57,5,4,30,39,7,8,9,24,33,3,9,19,6,5,5,21,2,2,47,46,46,49,19,1,6,19,1,35,23,2,1,28,4,3,8,7,2,11,23,23,3,28,27,8,27
2010-06-14,2010-06-20,3,19,37,27,12,20,20,6,4,7,3,1,12,1,3,17,2,33,4,25,5,12,6,17,4,6,13,1,1,4,2,1,4,3,6,8,7,2,2,0,0,17,3,5,4,4,15,6,5,2,1,1,1,3,2,7,3,8,3,3,38,12,2,1,2,1,1,1,7,3,4,41,4,1,3,4,3,2,3,3,3,9,3,1,52,4,6,26,37,9,15,3,8,31,3,21,22,5,7,2,21,1,2,54,45,41,44,18,1,2,13,1,26,22,1,1,34,2,5,3,7,2,14,16,23,3,27,29,0,23
2010-06-21,2010-06-27,4,16,40,25,8,21,17,5,5,10,3,1,15,1,1,30,2,30,3,22,6,15,5,18,4,5,6,2,1,6,4,1,5,5,5,4,5,2,2,1,0,8,3,3,5,5,12,6,7,1,1,1,1,2,2,10,3,4,3,8,43,11,2,2,2,1,1,1,7,4,5,37,2,1,3,4,4,2,3,3,3,9,4,1,54,4,4,30,43,6,5,2,12,31,3,17,18,4,10,2,21,2,2,44,43,39,45,19,1,2,14,1,32,19,2,1,20,3,5,4,6,2,6,15,32,4,27,28,0,26
2010-06-28,2010-07-04,3,25,36,19,8,21,23,5,3,7,2,1,13,1,1,12,3,27,6,27,6,13,6,10,5,5,8,2,1,2,4,1,5,4,6,4,5,2,1,0,0,8,3,3,3,5,9,7,9,1,1,1,1,2,2,7,2,6,3,4,38,13,2,1,2,3,2,3,3,4,7,28,4,1,3,4,3,2,3,2,3,6,3,1,50,5,4,24,40,8,5,2,13,29,4,13,12,7,5,2,19,1,1,43,41,39,45,15,1,4,13,1,26,20,2,1,23,2,3,4,6,4,5,16,27,3,28,22,0,29
2010-07-05,2010-07-11,3,22,45,12,10,19,15,5,1,6,4,2,13,1,1,23,2,26,4,21,6,13,6,23,5,5,8,1,1,3,2,2,4,4,6,8,5,1,2,0,0,8,2,1,1,3,5,6,6,0,1,1,1,2,2,6,4,11,4,4,45,12,2,1,1,1,1,1,5,2,6,45,3,1,3,8,3,2,5,2,2,5,2,2,52,3,5,27,39,9,7,2,11,31,3,15,20,5,9,3,20,1,1,38,41,40,45,19,1,4,13,1,20,23,2,1,12,3,3,3,6,1,5,17,26,2,26,26,0,29
2010-07-12,2010-07-18,3,19,40,25,13,19,14,5,5,6,4,1,12,1,1,17,3,25,4,23,5,12,6,18,5,5,7,1,1,2,2,1,6,2,6,7,4,2,1,0,0,7,2,2,5,5,9,4,6,1,1,1,1,2,2,6,4,3,3,2,37,12,2,1,2,1,1,1,7,3,4,42,2,1,3,4,3,2,6,2,3,8,3,1,49,4,5,30,45,9,9,2,9,30,2,29,18,4,4,3,17,1,2,30,40,39,45,19,1,7,13,1,33,23,1,1,24,2,4,5,6,1,5,17,25,3,26,24,0,26
2010-07-19,2010-07-25,3,25,41,19,9,18,14,3,3,6,1,1,12,1,1,24,4,24,2,26,5,12,5,12,3,3,9,1,2,2,2,1,5,2,5,7,8,2,2,0,0,7,2,4,3,4,13,4,2,1,1,1,1,2,2,6,1,3,7,3,41,12,2,1,2,1,1,1,5,6,4,39,3,1,3,4,3,3,3,2,2,9,3,2,51,5,5,31,44,5,7,2,12,30,2,22,15,5,6,3,19,1,1,12,41,37,46,16,1,2,16,1,22,19,2,1,19,4,3,4,6,3,5,16,25,3,21,23,0,22
2010-07-26,2010-08-01,3,18,40,11,10,18,17,4,3,6,2,2,12,1,2,18,3,25,3,27,3,12,4,12,3,4,6,2,1,3,5,2,5,2,4,4,7,2,2,0,0,7,2,4,3,3,5,4,4,1,1,1,1,2,2,6,2,3,5,4,41,10,2,3,2,1,2,1,4,3,3,41,3,1,3,4,3,4,3,2,3,6,2,1,56,4,7,30,42,10,4,2,7,31,2,21,19,6,4,5,16,2,3,17,41,37,43,17,1,4,14,1,35,20,2,1,17,3,4,5,6,1,5,27,24,2,26,24,7,23
2010-08-02,2010-08-08,2,18,37,11,13,18,19,5,4,6,1,2,10,1,2,17,6,34,5,25,3,10,5,27,5,5,7,2,1,3,2,2,4,4,5,4,5,2,1,0,0,7,2,4,4,5,5,4,3,0,1,1,1,3,4,6,1,7,4,4,38,11,2,2,2,1,2,3,6,5,6,38,4,1,3,4,2,3,3,2,2,6,5,1,56,5,7,28,39,7,4,4,9,30,2,22,17,7,6,2,18,1,2,14,40,35,42,15,1,4,15,1,27,15,2,1,11,2,4,4,6,2,5,34,25,5,25,25,7,27
2010-08-09,2010-08-15,3,25,42,30,13,19,21,5,4,6,4,1,13,2,2,11,3,22,6,27,4,13,6,17,6,5,9,3,2,2,4,1,5,6,6,4,7,2,2,0,0,7,2,3,4,7,10,4,5,1,1,1,2,2,4,6,4,3,4,5,38,11,2,1,2,1,1,2,9,4,6,39,5,1,3,5,3,2,3,2,3,6,4,1,50,4,7,34,42,10,4,2,9,29,5,25,18,4,8,4,20,1,1,16,42,36,42,15,1,4,12,2,24,13,2,1,28,2,2,2,6,2,9,17,28,4,26,25,6,27
2010-08-16,2010-08-22,3,19,41,17,11,19,17,6,4,6,3,1,13,1,2,19,4,22,2,28,5,13,5,15,3,6,8,2,1,2,2,1,5,4,5,4,8,2,1,0,0,7,4,4,4,5,12,4,10,1,2,1,1,3,3,6,3,7,6,7,38,11,3,2,2,1,1,1,4,3,4,37,4,1,3,4,3,2,3,2,4,8,2,1,51,3,4,31,40,6,4,3,16,29,2,11,15,8,6,2,22,2,2,15,43,37,41,15,1,3,14,1,32,19,1,1,15,2,4,2,6,3,5,26,33,2,27,30,6,29
2010-08-23,2010-08-29,3,21,44,29,6,19,25,7,3,5,4,1,15,1,2,23,3,40,5,26,3,15,6,16,3,7,10,4,1,2,2,1,4,6,6,3,6,3,2,0,0,7,5,4,3,6,5,7,6,1,1,1,1,3,3,5,4,8,5,5,35,10,4,4,3,1,1,3,3,5,11,41,3,1,3,4,3,2,4,2,4,9,2,1,45,4,4,33,48,11,4,4,17,31,2,23,19,10,6,3,21,2,3,20,47,39,46,19,1,6,13,1,32,27,1,1,27,3,5,3,6,3,8,26,25,2,29,29,6,36
2010-08-30,2010-09-05,3,24,43,22,15,23,21,10,6,11,4,2,13,2,2,19,2,32,5,26,4,13,8,20,6,10,10,4,1,3,4,2,5,5,8,5,5,4,1,0,0,10,6,5,6,3,12,4,6,2,1,1,1,3,4,11,4,6,4,7,39,11,5,2,4,1,2,3,8,3,7,42,3,1,3,3,3,2,5,2,3,16,2,1,45,6,5,34,49,9,4,3,11,33,2,14,18,4,4,2,21,2,3,18,48,43,48,21,1,4,16,1,25,18,2,2,26,4,7,5,6,3,12,25,27,2,34,27,6,45
2010-09-06,2010-09-12,4,25,50,20,11,26,26,10,7,6,6,2,14,1,2,21,2,25,6,35,6,14,7,17,5,10,10,7,3,3,6,2,5,5,7,6,10,4,2,0,0,7,4,6,7,3,15,6,6,2,1,1,2,2,6,5,6,3,7,3,41,10,6,4,4,1,2,5,13,3,6,60,3,1,3,4,4,2,6,3,3,12,2,2,56,5,7,43,54,13,4,5,20,35,2,37,20,8,5,2,27,2,3,19,50,42,46,18,1,4,19,2,34,28,3,3,18,4,3,2,8,3,5,27,33,2,27,31,8,34
2010-09-13,2010-09-19,4,21,54,25,20,29,23,13,8,11,8,3,16,2,4,20,5,29,6,38,9,16,9,24,6,13,13,8,3,4,3,3,10,8,9,7,8,7,3,1,1,13,5,8,8,7,17,10,6,2,1,1,2,3,3,11,8,8,13,10,38,14,7,4,7,2,2,6,9,5,6,61,8,2,3,5,4,2,4,2,5,12,4,3,53,9,7,45,58,16,8,7,21,42,7,25,16,9,12,3,31,3,3,21,54,46,50,32,1,5,23,2,27,24,2,3,21,5,4,5,11,3,9,27,34,4,34,36,12,54
2010-09-20,2010-09-26,5,33,55,25,20,32,28,17,11,7,7,3,17,2,4,29,5,39,6,41,4,17,10,24,7,17,9,9,5,4,5,3,10,7,10,8,12,7,3,1,1,9,6,6,11,6,12,9,10,2,2,2,2,4,4,7,7,5,8,10,41,13,8,5,7,1,2,6,8,7,3,71,10,1,3,6,5,2,3,2,6,10,5,2,53,10,3,44,60,17,5,5,15,44,3,31,24,7,10,2,31,4,6,20,58,48,53,32,1,8,20,2,37,31,3,3,24,6,3,9,11,4,11,35,30,5,40,35,6,47
2010-09-27,2010-10-03,5,27,55,12,19,33,25,17,13,14,9,4,14,3,5,18,7,38,8,40,5,14,10,19,12,17,12,10,5,6,6,4,9,8,10,10,11,8,4,1,1,9,7,9,13,8,17,9,9,3,2,2,2,5,2,14,9,3,9,9,37,13,7,5,8,2,2,5,9,7,8,61,9,1,3,7,5,2,3,2,5,14,3,2,55,9,11,45,59,21,6,5,13,45,4,23,15,8,13,5,30,3,5,22,55,48,51,35,1,6,23,2,38,34,4,4,20,6,7,4,5,5,9,34,43,3,30,40,15,49
2010-10-04,2010-10-10,6,34,54,21,9,33,37,17,7,8,8,4,16,2,5,18,4,40,6,40,2,16,12,16,6,17,17,11,6,6,4,4,11,10,12,13,13,7,5,1,1,10,5,11,7,9,17,12,10,2,2,2,3,5,5,8,8,8,10,14,38,13,8,4,7,2,3,6,9,7,6,67,12,2,4,8,6,3,5,4,7,21,2,4,60,9,3,38,50,31,9,7,9,47,3,13,21,10,8,6,32,5,4,20,56,49,52,32,2,9,24,3,28,28,4,5,21,8,10,11,6,4,7,39,47,2,38,41,24,65
2010-10-11,2010-10-17,5,41,48,14,15,36,31,13,13,9,11,4,18,2,3,15,6,31,6,40,3,18,12,21,13,13,17,11,7,8,2,4,11,4,12,9,13,7,5,1,1,10,4,11,13,8,14,12,8,2,2,2,3,3,2,9,11,12,9,16,30,12,8,4,7,2,3,5,7,5,5,59,11,1,3,3,5,2,5,4,5,11,3,4,57,10,14,33,54,30,9,6,11,49,7,24,17,12,10,4,33,4,5,19,55,49,53,32,2,7,27,3,34,33,4,5,33,4,7,7,13,4,7,28,42,3,43,41,9,59
2010-10-18,2010-10-24,5,40,52,34,13,39,31,18,18,18,10,5,17,3,3,21,8,37,7,54,6,17,12,14,6,18,15,10,5,7,3,5,9,7,12,7,16,8,4,1,1,9,6,12,18,3,11,11,17,1,2,2,3,4,4,18,10,20,14,6,36,15,8,6,8,2,3,6,14,7,5,62,12,1,12,3,5,2,4,2,8,15,3,4,56,11,5,41,59,33,5,9,17,50,4,17,18,10,7,4,41,4,6,20,56,52,56,35,2,8,28,4,28,30,6,5,31,6,7,6,5,4,8,44,39,3,41,47,8,70
2010-10-25,2010-10-31,7,34,49,27,16,37,32,19,15,18,13,5,14,2,3,25,7,35,6,39,5,14,10,22,6,19,15,9,6,7,4,5,14,7,10,7,18,6,5,1,1,13,2,8,15,8,22,12,11,2,2,2,3,3,7,18,13,8,9,18,40,13,7,6,6,3,4,5,9,10,7,64,15,1,4,8,7,3,8,10,7,19,5,4,57,12,11,39,56,29,6,7,16,49,7,37,19,14,12,9,39,3,7,20,52,54,59,35,2,8,29,3,40,28,4,4,27,9,6,8,9,4,8,35,39,5,38,51,6,75
2010-11-01,2010-11-07,6,29,50,25,12,38,29,19,13,10,12,5,15,2,3,20,11,34,6,38,6,15,13,23,7,19,19,11,6,8,2,5,15,5,13,7,18,7,5,1,1,11,6,12,13,9,23,13,13,3,1,2,3,5,4,10,12,13,11,13,39,14,6,4,7,3,4,4,9,11,10,67,16,2,3,9,6,5,4,4,9,15,6,6,57,12,11,39,54,23,6,7,10,50,4,11,18,17,12,5,38,4,6,22,56,57,62,32,2,10,26,3,39,39,4,4,20,10,10,9,10,6,11,30,43,6,38,54,10,86
2010-11-08,2010-11-14,7,37,51,22,14,38,34,18,15,15,7,5,20,3,5,26,9,37,8,37,7,20,13,26,8,18,14,10,6,4,4,5,12,8,13,13,13,8,4,1,1,6,6,12,15,5,12,15,11,2,1,2,2,5,3,15,7,12,16,12,41,15,8,8,8,3,2,6,12,11,7,62,14,1,5,3,7,2,3,2,5,18,3,4,62,10,12,35,54,37,13,9,14,53,4,24,24,16,9,5,41,4,6,24,60,57,61,33,2,11,32,3,40,32,4,4,24,7,10,9,8,5,14,35,41,3,44,52,9,103
2010-11-15,2010-11-21,8,32,56,28,13,41,32,19,19,5,10,5,16,3,6,21,10,30,6,38,6,17,12,26,15,19,17,8,6,4,5,5,14,5,12,9,16,8,6,1,1,13,5,13,19,4,12,17,9,2,2,2,2,5,5,5,10,13,9,12,44,16,9,6,8,3,3,5,8,13,10,61,12,1,4,8,8,3,4,4,8,25,7,4,64,11,9,34,51,26,13,10,14,53,6,21,28,15,10,4,47,4,6,26,59,64,64,37,2,12,34,5,36,36,6,4,20,10,12,10,10,6,8,45,42,7,43,58,9,122
2010-11-22,2010-11-28,4,32,43,35,17,37,34,17,16,6,6,7,16,3,5,17,9,39,6,50,6,16,11,25,11,17,12,5,5,4,5,7,9,9,11,12,14,8,5,2,2,7,5,11,16,7,18,14,16,1,1,2,2,5,8,5,6,10,18,15,38,18,8,7,8,5,3,6,18,12,9,44,11,2,5,5,4,3,5,5,6,17,5,6,50,16,16,32,44,29,14,11,27,47,5,20,17,13,12,6,51,4,4,21,53,59,61,41,2,8,29,4,40,31,5,4,30,9,10,6,6,6,5,42,47,5,39,45,10,140
2010-11-29,2010-12-05,7,33,56,23,16,43,41,20,17,15,14,7,22,3,6,31,6,41,8,51,8,22,12,25,11,20,19,7,6,5,7,7,11,9,12,6,18,9,5,2,2,16,7,12,18,6,27,20,20,2,1,2,2,6,6,15,14,13,18,9,41,18,7,7,9,6,5,7,17,15,13,58,11,2,3,6,7,3,7,3,9,21,4,6,59,13,11,40,59,39,11,11,14,59,5,41,25,20,8,4,50,5,8,26,62,63,65,41,2,15,35,4,29,32,6,4,33,13,15,5,10,6,12,41,52,4,42,58,11,138
2010-12-06,2010-12-12,8,35,57,28,13,41,37,24,10,5,11,7,21,3,8,31,8,39,8,51,8,21,14,27,16,24,16,6,5,5,8,7,12,9,14,12,10,8,6,1,1,6,5,13,10,4,24,19,18,2,2,2,3,6,5,5,11,12,17,15,38,15,9,6,8,6,5,8,13,16,18,53,11,2,7,6,8,4,5,6,9,11,8,6,57,18,11,37,56,41,9,11,16,55,3,25,22,17,17,4,58,4,6,27,61,65,65,37,2,15,35,5,38,36,6,4,31,11,14,10,17,6,14,38,46,8,45,53,6,237
2010-12-13,2010-12-19,8,23,51,26,20,41,36,22,18,5,16,8,23,4,8,27,10,42,5,56,9,23,16,31,9,22,21,5,5,4,8,8,16,11,16,8,17,10,7,2,2,13,5,15,18,9,15,18,14,3,1,2,3,6,7,5,16,22,16,16,39,18,14,10,10,8,5,9,15,13,16,58,12,2,8,5,8,5,5,5,8,19,12,7,51,15,9,37,53,41,10,10,14,53,6,32,30,20,23,7,63,5,8,22,59,64,65,44,2,6,39,5,38,48,5,4,31,12,15,11,12,7,19,41,41,12,43,61,7,439
2010-12-20,2010-12-26,10,37,43,61,28,44,47,25,20,13,16,17,29,4,8,31,11,40,5,52,12,29,18,42,15,25,29,5,6,3,15,17,20,12,18,18,20,16,6,3,3,12,6,17,20,8,29,28,25,2,2,3,2,8,8,13,16,21,27,22,49,27,16,14,16,14,12,16,27,19,23,43,13,4,12,11,10,8,7,4,9,13,12,15,49,21,22,38,48,48,22,14,30,53,6,45,38,30,18,5,68,5,9,28,61,68,66,46,2,10,34,5,40,33,8,5,43,14,26,15,12,5,11,48,47,12,45,58,9,599
2010-12-27,2011-01-02,9,37,48,46,25,49,50,27,26,25,21,15,36,5,8,29,10,48,9,70,15,36,19,43,7,27,23,8,4,5,19,15,22,14,19,17,19,14,5,4,4,14,8,20,26,15,34,34,19,4,1,4,3,8,8,25,21,22,49,26,51,24,16,14,14,11,10,16,37,29,27,50,16,5,19,7,9,6,13,8,12,21,9,12,54,26,20,43,46,51,13,12,23,59,9,59,47,46,41,10,81,6,14,35,73,71,71,52,3,9,47,6,35,48,7,5,35,19,30,18,24,8,20,48,52,9,51,63,13,643
2011-01-03,2011-01-09,13,54,66,21,32,60,56,33,26,23,21,13,37,5,6,40,15,50,10,76,9,37,23,42,14,33,35,9,7,9,15,13,27,24,23,15,25,16,7,4,3,16,9,21,26,9,25,28,33,3,2,4,3,10,6,23,21,23,30,32,55,26,20,17,16,10,9,13,28,23,27,75,22,5,9,15,13,7,11,9,14,19,20,13,84,22,18,58,67,69,26,18,31,72,10,54,39,30,21,7,91,6,11,37,84,82,82,57,3,13,53,6,45,54,8,6,30,18,26,17,29,10,22,45,64,20,65,78,13,522
2011-01-10,2011-01-16,13,47,69,33,32,51,48,29,22,8,20,12,31,4,7,48,12,57,9,63,12,31,20,48,11,29,28,8,7,7,14,12,19,17,20,10,24,16,9,3,3,17,3,14,22,9,35,24,26,4,2,4,3,10,9,8,20,24,31,22,59,23,19,16,16,10,9,12,30,24,28,75,20,4,7,15,13,6,8,6,16,29,17,11,77,19,12,53,64,55,20,19,33,69,7,57,48,24,16,9,79,7,12,31,74,74,75,53,3,17,48,7,53,51,7,6,39,20,30,14,16,8,16,60,58,17,51,74,8,720
2011-01-17,2011-01-23,19,44,62,47,39,55,44,28,26,15,19,14,46,5,10,43,15,69,10,59,21,46,25,51,16,28,31,8,9,8,13,14,22,18,25,15,25,17,9,5,5,21,6,20,26,14,31,25,33,3,1,4,4,11,10,15,19,25,39,24,72,25,21,20,17,12,12,16,28,22,26,64,19,7,12,19,19,9,8,14,19,31,32,13,76,22,23,56,69,59,21,17,22,70,10,73,61,30,26,9,80,8,17,33,73,83,82,56,3,20,51,7,66,42,8,6,51,20,27,17,27,11,26,54,52,32,55,74,14,1182
2011-01-24,2011-01-30,25,55,76,36,43,60,54,26,34,20,26,17,49,6,14,60,16,66,18,63,16,49,28,49,12,26,38,9,12,10,16,17,31,24,28,18,33,20,13,4,4,19,8,24,34,10,37,28,31,4,2,5,5,12,9,20,26,30,36,26,67,27,25,25,20,13,13,18,39,27,27,80,22,6,8,30,25,16,17,16,25,39,42,15,85,25,29,63,79,57,24,26,46,75,10,82,60,26,23,12,91,8,15,33,78,87,87,65,4,16,52,9,61,52,8,7,45,27,35,24,28,10,22,61,55,42,68,74,11,1594
2011-01-31,2011-02-06,30,53,70,43,50,61,54,28,28,22,21,16,49,5,10,62,18,59,12,62,14,49,29,62,13,28,37,11,10,7,11,16,32,26,29,12,30,21,11,5,5,18,8,19,28,12,42,33,31,3,1,5,6,10,7,22,21,41,40,28,73,26,26,25,21,14,14,17,35,24,28,79,31,7,12,26,30,14,20,18,27,47,38,17,79,29,29,62,69,64,20,21,50,74,16,73,56,35,32,14,75,9,17,32,75,86,87,70,4,28,51,9,53,45,8,7,42,23,31,23,28,11,22,52,54,38,61,71,18,1722
2011-02-07,2011-02-13,30,61,76,37,50,63,52,30,30,24,26,18,58,5,11,64,19,66,16,71,17,58,32,66,14,30,48,9,9,7,22,18,29,29,32,24,36,23,14,5,4,15,8,22,30,22,36,34,23,4,2,5,5,11,10,24,26,39,46,34,72,27,33,28,23,16,17,22,43,26,42,92,29,7,12,28,30,13,16,15,29,49,34,19,83,28,36,60,76,67,39,27,47,77,9,86,71,36,37,16,67,9,17,38,80,95,97,64,4,34,61,10,53,52,10,8,35,24,36,17,21,10,20,57,52,34,66,78,23,1616
2011-02-14,2011-02-20,36,66,74,28,49,67,51,26,30,24,23,21,59,7,12,69,18,71,11,77,22,60,33,64,23,26,45,11,10,12,18,20,33,27,33,24,31,25,13,6,5,19,12,24,30,16,30,36,27,3,2,5,6,12,12,24,23,34,39,31,90,32,33,28,25,19,18,19,48,28,30,81,28,7,10,42,36,18,19,25,37,55,45,18,83,23,31,67,81,59,25,22,51,83,12,82,65,34,32,15,60,9,17,37,82,100,100,66,5,32,62,11,59,58,11,8,42,27,36,16,21,13,17,43,58,45,68,79,28,1818
2011-02-21,2011-02-27,32,57,69,34,49,63,54,30,35,12,19,18,50,4,6,67,22,52,13,76,14,51,31,58,16,30,39,10,9,7,18,18,30,25,31,15,29,22,11,6,5,23,8,19,35,16,38,32,29,3,2,5,6,10,7,12,19,38,33,27,79,29,29,27,22,16,17,22,32,28,29,71,28,10,14,46,32,16,15,17,32,38,45,19,82,29,28,62,71,55,17,17,37,79,8,70,57,27,30,11,68,8,15,39,81,92,97,64,4,27,56,9,52,53,8,7,40,24,27,21,35,11,28,53,45,45,63,73,26,1409
2011-02-28,2011-03-06,27,60,66,41,37,59,41,26,20,17,14,14,47,4,10,63,15,75,12,56,12,47,23,48,13,27,29,7,8,8,16,14,25,26,23,20,26,18,9,4,4,10,7,19,20,18,25,24,21,2,1,4,5,9,11,17,14,27,25,22,77,24,25,22,18,12,11,15,25,19,16,57,21,6,12,35,27,11,14,18,27,43,31,11,77,21,14,53,71,44,17,14,41,74,12,60,45,27,18,10,56,7,13,37,78,89,93,57,3,32,49,7,43,45,9,6,38,15,19,17,23,10,22,43,41,31,56,68,13,967
2011-03-07,2011-03-13,22,45,63,40,33,54,43,20,25,12,10,11,42,4,8,48,13,59,9,49,12,42,21,42,15,20,28,5,7,4,8,11,24,19,21,12,21,16,7,2,3,5,9,12,25,16,31,17,17,3,1,3,3,7,13,12,10,26,26,26,67,24,24,19,16,10,12,14,31,16,12,69,12,4,7,17,22,14,10,15,23,38,29,10,76,17,17,46,64,43,7,12,24,69,5,45,45,20,22,13,51,5,10,34,74,91,92,53,3,27,46,6,39,41,8,5,41,14,17,17,15,6,13,39,47,29,65,65,16,713
2011-03-14,2011-03-20,18,35,61,22,26,47,36,15,14,6,10,10,39,3,7,46,12,57,5,53,11,39,17,39,5,15,21,5,6,4,8,10,16,13,17,3,18,15,7,2,2,12,9,11,14,12,27,17,16,3,1,2,3,7,8,6,10,16,24,21,58,20,25,26,15,10,10,18,23,14,12,54,11,3,6,21,18,11,11,9,21,39,22,10,65,18,16,52,65,23,11,9,19,62,8,41,37,16,15,8,44,4,8,31,71,84,88,41,2,22,45,5,45,39,6,4,23,14,12,8,10,7,11,39,47,22,48,59,8,498
