start_date,end_date,AInfluenza,AcuteBronchitis,BodyTemperature,BraunThermoscan,BreakAFever,Bronchitis,ChestCold,ColdAndFlu,ColdOrFlu,ColdVersusFlu,ColdVsFlu,ContagiousFlu,CoughFever,CureFlu,CureTheFlu,DangerousFever,DoIHaveTheFlu,EarThermometer,EarlyFluSymptoms,Expectorant,ExposedToFlu,FeverCough,FeverFlu,FeverReducer,FightTheFlu,FluAndCold,FluAndFever,FluCare,FluChildren,FluComplications,FluContagiousPeriod,FluContagious,FluCough,FluDuration,FluFever,FluGerms,FluHeadache,FluHowLong,FluInChildren,FluIncubationPeriod,FluIncubation,FluLasts,FluLength,FluMedicine,FluOrCold,FluRecovery,FluRelief,FluRemedies,FluRemedy,FluReport,FluReports,FluSymptoms,FluTest,FluTreatment,FluTreatments,FluVersusCold,FluVsCold,GetOverTheFlu,GetRidOfTheFlu,HavingTheFlu,HighFever,HowLongContagious,HowLongDoesFluLast,HowLongDoesTheFluLast,HowLongFlu,HowLongIsFluContagious,HowLongIsTheFluContagious,HowLongIsTheFlu,HowToGetRidOfTheFlu,HowToTreatFlu,HowToTreatTheFlu,HumanTemperature,IHaveTheFlu,IncubationPeriodForFlu,IncubationPeriodForTheFlu,InfluenzaAAndB,InfluenzaA,InfluenzaContagious,InfluenzaIncubationPeriod,InfluenzaIncubation,InfluenzaSymptoms,InfluenzaTreatment,InfluenzaTypeA,IsFluContagious,LowBody,MedicineForFlu,MedicineForTheFlu,NormalBodyTemperature,NormalBody,Oscillococcinum,OverTheCounterFluMedicine,OverTheCounterFlu,PainfulCough,Pneumonia,RapidFlu,ReduceAFever,ReduceFever,RemediesForFlu,RemediesForTheFlu,RespiratoryFlu,Robitussin,SignsOfFlu,SignsOfTheFlu,SinusInfections,Sinus,StrepThroat,Strep,SymptomsOfBronchitis,SymptomsOfFlu,SymptomsOfInfluenza,SymptomsOfPneumonia,SymptomsOfTheFlu,TakingTemperature,Tessalon,TheFluVirus,TheFlu,Thermoscan,TreatFlu,TreatTheFlu,TreatingFlu,TreatingTheFlu,TreatmentForFlu,TreatmentForTheFlu,Tussin,Tussionex,TypeAInfluenza,UpperRespiratory,WalkingPneumonia,WhatToDoIfYouHaveTheFlu,FluVisits
2011-03-21,2011-03-27,14,42,59,35,26,50,34,17,16,9,8,7,39,3,4,60,13,51,7,56,7,39,15,34,6,17,20,5,6,2,6,7,16,9,15,7,13,13,5,2,2,7,7,10,16,7,24,16,15,2,0,2,3,5,6,9,8,15,18,11,54,18,30,31,13,5,5,11,19,14,11,55,13,3,3,8,14,6,8,8,15,25,15,7,73,16,13,46,67,26,11,7,34,61,7,52,39,15,15,5,42,4,7,32,71,83,87,47,2,13,42,5,44,44,6,4,36,13,13,9,8,8,16,43,38,15,53,60,9,325
2011-03-28,2011-04-03,11,48,61,38,25,47,40,16,12,11,7,7,33,2,3,54,7,46,8,46,4,34,12,26,10,16,15,3,3,3,5,7,10,8,12,10,11,12,4,2,1,10,6,7,12,6,14,14,11,1,0,2,2,6,7,11,7,11,20,21,57,22,25,27,12,6,8,12,17,11,10,61,11,3,5,13,11,5,6,7,11,18,11,7,73,11,10,46,67,29,6,6,24,58,6,46,37,17,13,7,43,3,6,35,72,82,86,43,2,17,39,5,35,41,6,4,30,8,10,5,12,9,24,42,39,11,49,57,9,220
2011-04-04,2011-04-10,9,34,58,27,18,43,36,13,10,12,6,5,32,3,6,34,8,40,7,47,6,32,10,20,7,13,18,5,3,2,8,5,10,7,10,6,10,11,4,1,1,10,3,8,10,8,9,11,15,1,1,2,3,5,4,12,6,6,15,11,53,18,20,25,11,3,3,10,16,10,10,59,11,2,2,16,9,4,4,6,10,16,6,4,73,12,6,46,66,20,9,5,27,57,6,51,37,11,9,4,40,3,4,31,69,83,87,41,2,11,35,4,36,37,5,3,30,9,8,6,8,7,11,38,32,6,50,49,7,162
2011-04-11,2011-04-17,10,45,60,30,23,43,27,13,11,5,8,5,30,2,5,36,6,55,4,49,4,30,11,31,6,13,15,4,3,4,4,5,11,11,11,6,11,10,3,1,1,8,7,6,11,4,20,11,11,1,0,2,2,5,6,5,8,15,19,13,52,18,21,24,10,5,6,9,15,7,8,67,9,2,3,6,10,4,5,3,9,24,5,5,78,8,6,40,55,18,4,7,34,56,4,46,31,10,15,6,38,2,4,26,68,79,83,49,1,15,35,4,34,40,5,3,28,9,12,6,6,6,9,38,31,5,49,48,11,101
2011-04-18,2011-04-24,7,34,52,29,23,41,31,12,11,5,5,4,26,3,4,38,7,29,4,41,5,26,10,31,6,12,16,3,2,2,1,4,7,5,10,5,9,8,2,1,1,10,2,6,11,6,14,7,9,1,1,1,2,4,2,5,5,5,13,9,52,16,14,17,8,3,2,5,9,9,9,48,7,2,4,7,7,2,5,6,7,10,6,4,68,7,5,37,57,14,3,5,26,50,4,45,32,5,8,7,37,3,5,26,66,73,76,34,1,12,34,3,35,37,3,3,27,7,10,9,7,6,11,26,35,6,47,46,17,75
2011-04-25,2011-05-01,6,35,54,25,18,38,28,12,10,8,5,3,26,2,2,33,9,40,5,42,4,26,7,29,4,12,12,3,2,1,2,3,9,6,7,12,11,9,2,1,1,8,5,6,10,6,14,10,7,1,1,1,2,4,4,8,5,13,15,7,50,15,19,20,9,4,3,8,18,6,6,57,9,1,3,10,6,3,6,3,8,12,5,4,66,9,10,37,55,13,7,6,18,50,2,39,32,13,12,6,34,3,5,27,63,69,75,37,1,13,31,3,39,29,4,3,23,6,10,4,4,5,9,42,28,5,44,43,17,58
2011-05-02,2011-05-08,6,28,57,23,19,36,26,11,9,10,5,4,25,2,5,27,6,35,6,40,4,25,8,34,2,11,10,2,2,3,3,4,7,5,8,2,8,8,2,1,1,12,2,5,9,8,17,9,6,1,0,1,2,4,5,10,5,7,12,5,51,17,16,16,8,3,3,7,10,7,8,49,5,2,3,10,6,2,3,5,8,18,2,4,66,7,8,37,57,16,4,4,27,47,2,35,42,9,6,3,31,2,4,23,64,71,75,33,1,13,27,3,37,35,3,2,27,7,8,5,8,5,9,26,30,2,40,43,14,38
2011-05-09,2011-05-15,5,31,51,21,21,37,25,11,7,5,5,4,26,3,6,33,5,40,4,41,5,26,7,28,2,11,11,3,2,2,5,4,7,5,7,3,8,6,2,1,1,7,3,5,7,4,16,5,7,1,0,1,1,3,1,5,5,6,13,8,52,17,12,9,6,3,2,4,10,8,8,52,9,1,3,9,5,2,2,2,6,15,2,3,65,10,8,40,59,12,5,2,28,48,5,32,31,4,4,4,35,2,2,25,66,72,75,34,1,9,25,2,38,29,3,2,30,4,6,3,4,4,10,42,28,2,38,44,12,35
2011-05-16,2011-05-22,4,29,52,26,23,38,29,10,9,4,3,3,23,2,2,24,4,35,4,41,5,23,6,29,4,10,7,2,2,2,2,3,6,4,6,3,6,5,2,1,1,5,5,7,9,4,8,8,5,1,0,1,2,3,3,4,3,4,14,6,50,17,10,13,5,1,3,5,13,8,6,50,7,1,6,4,4,3,3,2,6,11,4,2,58,9,10,38,55,11,4,4,16,45,3,46,32,11,9,4,32,2,2,22,61,72,75,30,1,10,26,2,38,32,3,2,32,5,4,3,6,3,9,31,31,4,42,42,12,27
2011-05-23,2011-05-29,4,31,50,33,22,34,27,8,8,4,5,3,20,2,3,33,4,35,3,31,3,20,7,28,4,8,11,3,2,1,2,3,4,3,7,3,8,4,2,1,1,14,2,5,8,9,12,9,6,1,0,1,1,3,1,4,5,5,13,4,48,15,7,8,4,2,2,4,12,3,6,50,7,1,2,5,4,2,2,2,5,9,4,2,58,7,6,37,53,12,3,4,34,43,3,36,26,9,11,3,28,2,4,22,58,73,76,32,1,10,27,2,44,31,3,2,22,3,3,4,6,3,13,32,29,4,36,37,5,18
2011-05-30,2011-06-05,3,28,53,25,19,33,33,8,7,4,4,3,23,2,4,34,4,43,4,39,3,23,9,39,6,8,13,2,2,1,4,3,4,3,9,3,6,4,2,0,0,11,2,5,7,10,15,8,6,0,0,1,1,3,3,4,4,11,14,6,50,15,6,7,4,2,2,4,17,6,4,56,6,1,2,5,3,3,2,2,5,10,3,2,58,7,5,38,54,12,5,6,29,43,3,43,28,8,6,2,28,2,3,23,58,70,74,30,1,7,26,1,41,29,3,2,27,4,3,2,4,3,9,32,28,3,37,37,5,19
2011-06-06,2011-06-12,3,20,50,22,19,31,28,7,5,4,4,2,20,2,3,29,5,38,5,29,3,20,7,27,3,7,13,3,1,2,2,2,4,4,7,8,10,3,1,0,0,10,2,4,5,4,13,9,5,0,0,1,2,3,2,4,4,7,5,4,54,15,5,3,3,1,1,2,5,3,4,43,6,0,3,3,3,2,2,2,4,10,4,1,59,8,4,40,57,10,14,7,26,41,3,40,27,10,9,4,28,2,3,23,56,66,69,31,1,7,23,2,35,30,2,2,15,3,4,2,4,4,9,20,28,4,40,40,7,19
2011-06-13,2011-06-19,3,20,47,22,17,28,21,5,7,4,5,3,21,2,2,44,2,31,4,29,3,21,6,28,5,5,8,1,1,2,1,3,5,3,6,3,8,3,2,1,1,5,2,5,6,4,7,8,6,0,0,1,1,2,2,4,5,5,9,5,49,14,5,4,3,1,1,1,7,6,7,36,3,1,4,5,3,2,2,2,3,5,2,2,58,6,4,42,53,12,6,3,21,38,2,35,27,7,6,2,26,2,3,21,53,61,65,22,1,3,23,1,34,26,1,1,24,6,6,4,8,2,3,33,28,2,30,32,5,16
2011-06-20,2011-06-26,3,19,42,25,15,25,24,5,4,4,4,2,20,1,3,26,4,32,4,29,4,20,7,23,4,4,11,2,1,1,3,2,3,6,7,3,9,3,1,0,0,5,5,6,4,3,9,6,9,0,1,1,1,3,3,4,4,5,5,9,49,15,3,2,3,2,1,2,4,3,4,37,5,0,3,10,3,2,2,2,3,6,2,2,55,6,6,29,43,8,5,5,15,36,5,37,30,7,3,1,25,2,2,20,50,58,62,26,1,3,21,1,27,29,2,1,13,4,7,3,6,2,12,22,22,2,31,31,5,11
2011-06-27,2011-07-03,2,25,47,22,21,25,20,6,4,6,3,2,15,2,2,29,3,21,4,24,4,15,5,33,3,6,10,2,1,1,3,2,3,3,5,3,6,3,1,0,0,10,2,3,4,3,6,6,7,1,1,1,1,3,2,6,3,2,3,6,51,15,4,4,3,1,1,2,3,6,5,41,5,1,2,3,2,3,3,3,3,7,2,2,53,4,5,37,51,9,4,3,7,36,2,44,29,7,7,2,26,1,3,19,49,55,59,24,1,5,18,1,36,21,2,1,24,4,3,5,4,4,9,26,22,2,31,31,5,14
2011-07-04,2011-07-10,2,23,45,25,21,25,21,6,5,9,1,2,17,2,2,29,3,30,3,22,3,17,6,24,5,6,6,2,2,1,2,2,3,3,6,8,8,3,1,1,0,7,2,5,5,5,11,4,6,1,1,1,1,2,2,9,1,2,7,5,54,15,5,3,3,1,1,1,11,5,5,39,4,1,2,3,2,1,3,2,3,7,2,1,56,7,4,33,47,7,5,4,14,34,4,28,23,6,5,2,22,2,2,20,46,54,57,24,1,3,16,1,31,28,1,1,29,6,4,2,4,3,6,31,24,2,27,29,5,13
2011-07-11,2011-07-17,3,23,46,25,17,24,19,5,4,4,3,2,13,2,4,25,4,23,1,25,2,14,5,24,3,5,8,2,1,1,2,2,4,2,5,5,10,2,1,0,0,10,2,3,4,2,11,4,4,1,1,1,1,2,1,4,3,2,4,5,51,14,2,2,2,2,1,2,6,3,6,40,5,1,2,4,3,1,4,2,3,6,3,2,55,6,7,34,47,6,4,2,15,34,3,30,21,4,3,1,21,2,2,17,47,51,56,19,1,3,17,1,34,22,2,1,22,3,5,3,4,2,5,27,23,3,29,31,5,11
2011-07-18,2011-07-24,3,19,49,22,16,20,19,6,3,4,3,2,16,1,2,23,1,32,2,27,2,16,5,29,4,6,8,2,1,1,1,2,3,2,5,2,4,2,2,0,0,5,2,2,3,4,13,6,5,1,0,1,1,2,2,4,3,5,6,3,43,13,3,3,2,1,1,2,5,2,2,47,5,1,2,6,3,2,2,2,3,7,3,2,57,3,2,35,51,7,3,1,16,33,3,26,24,6,3,2,23,1,2,19,47,51,55,16,1,5,17,1,30,26,2,1,21,3,11,3,4,1,7,31,22,3,29,27,5,13
2011-07-25,2011-07-31,3,19,49,17,18,21,18,5,4,4,4,2,16,1,2,26,3,35,2,27,2,16,5,28,2,5,7,2,1,2,1,2,5,3,5,2,6,2,1,1,1,10,4,2,4,2,3,5,5,1,1,1,1,2,1,4,4,8,7,3,42,15,3,2,2,2,2,2,7,2,4,46,4,1,2,4,3,2,2,2,3,6,2,2,62,2,2,35,49,8,9,5,16,32,3,35,31,5,3,3,20,1,1,18,46,50,55,18,1,5,15,1,35,20,2,1,19,4,3,2,4,3,5,23,21,2,28,23,4,13
2011-08-01,2011-08-07,2,14,43,18,12,21,21,7,4,4,2,1,16,1,2,20,2,31,4,23,2,16,5,26,4,7,8,2,1,1,2,1,3,2,5,2,7,3,1,0,0,10,2,3,4,2,5,4,4,1,1,1,1,2,7,4,2,3,5,6,39,13,4,3,3,1,1,2,7,5,6,49,5,0,2,2,2,2,2,2,3,3,2,2,56,4,5,35,51,9,6,2,12,32,2,28,28,3,6,1,22,1,2,17,47,46,50,18,1,4,16,1,30,17,1,1,15,3,3,3,4,2,5,23,19,2,26,29,4,11
2011-08-08,2011-08-14,2,17,45,20,15,21,19,7,4,6,3,2,14,2,1,27,3,33,4,26,3,14,5,31,5,7,9,3,1,2,1,2,4,2,5,5,5,3,1,0,0,10,4,4,4,2,7,7,5,0,1,1,1,2,2,6,3,6,5,5,41,13,4,3,3,1,1,2,5,1,2,34,4,1,3,5,2,1,3,2,4,6,2,2,57,5,5,27,44,10,3,1,8,32,2,28,19,8,4,2,22,1,2,15,47,47,51,16,1,5,16,1,34,20,1,1,18,2,3,2,4,2,4,25,21,2,25,28,7,14
2011-08-15,2011-08-21,2,17,42,20,15,20,21,7,3,4,2,2,13,1,2,18,3,29,5,23,2,13,6,26,4,7,9,3,2,2,3,2,6,5,6,4,9,3,2,0,0,10,2,4,3,2,17,6,5,1,0,1,1,2,1,4,2,5,8,6,42,12,3,3,3,1,1,2,7,5,4,35,6,1,2,4,2,1,4,3,3,5,2,1,54,6,6,35,44,12,5,2,8,32,2,22,24,3,3,3,20,2,3,18,47,48,52,16,1,3,15,1,31,23,2,1,23,3,6,3,4,1,5,23,22,2,31,31,9,16
2011-08-22,2011-08-28,3,24,50,20,13,23,21,7,6,4,3,2,15,1,4,24,3,35,6,24,2,15,6,29,3,7,12,5,2,2,3,2,5,4,6,2,11,3,1,0,0,5,2,4,6,4,11,6,5,0,0,1,1,2,2,4,3,9,8,6,44,12,4,3,3,1,1,2,8,4,4,44,4,1,2,6,3,1,4,1,4,9,2,1,59,4,4,42,53,9,7,4,15,33,2,31,26,7,4,3,25,1,2,19,49,50,53,17,1,6,16,2,28,18,2,2,21,2,2,2,4,1,3,27,26,2,28,29,4,18
2011-08-29,2011-09-04,3,21,56,23,14,25,22,12,6,4,3,2,16,2,2,30,3,32,5,24,3,16,8,35,5,12,10,4,2,2,3,2,8,8,8,4,9,5,2,1,0,5,5,5,6,4,14,8,4,1,2,1,1,3,1,4,3,3,7,5,42,14,6,5,5,2,1,2,6,4,6,47,6,1,2,4,3,1,2,2,4,13,4,3,54,9,9,46,58,10,13,4,15,35,4,23,27,9,3,4,25,2,1,20,51,50,55,20,1,5,19,2,41,29,3,2,21,3,3,2,4,2,8,30,28,4,30,33,5,32
2011-09-05,2011-09-11,3,24,60,24,18,28,29,12,9,6,6,3,18,2,2,24,2,34,7,33,4,18,8,37,8,12,12,7,3,3,2,3,7,5,8,4,13,5,4,1,0,12,4,8,9,5,10,7,11,1,1,1,2,3,3,6,6,4,10,10,43,14,7,4,5,2,1,4,15,5,6,53,8,1,4,2,3,1,3,4,3,12,4,2,61,9,11,52,61,11,11,6,16,40,6,43,26,9,6,2,30,2,3,23,55,52,55,22,1,3,23,2,39,25,4,3,22,4,6,5,5,3,3,30,22,4,32,30,6,32
2011-09-12,2011-09-18,4,22,60,29,19,31,30,14,11,6,8,4,18,1,3,20,6,38,7,41,5,18,10,37,7,14,15,9,4,6,3,4,8,9,10,8,12,8,3,1,1,9,4,9,11,3,17,11,4,2,1,2,2,3,5,6,8,8,15,10,45,14,9,6,8,1,2,4,17,6,11,70,12,1,2,7,4,1,3,3,3,13,4,4,62,11,7,48,62,18,11,7,10,45,3,38,26,12,9,5,31,3,5,21,59,56,60,28,1,5,24,3,38,24,4,3,25,7,6,4,5,3,9,24,30,4,45,40,4,37
2011-09-19,2011-09-25,4,30,68,35,22,36,33,18,15,14,10,3,20,2,3,26,7,44,6,37,3,20,12,36,9,18,13,10,5,4,5,3,9,6,12,6,16,8,4,1,1,9,4,11,14,4,6,14,10,2,1,2,3,4,4,14,10,6,10,11,46,16,9,6,8,2,2,5,8,7,7,81,12,1,3,5,4,1,4,5,5,15,3,3,62,12,7,56,72,25,10,8,17,50,5,35,30,18,17,5,35,4,6,26,63,61,63,35,1,7,28,3,35,33,4,4,24,8,12,8,11,4,12,32,35,3,44,41,6,47
2011-09-26,2011-10-02,5,34,63,25,22,38,39,20,18,8,11,5,22,3,4,30,6,39,5,37,3,22,14,42,5,20,18,11,5,4,4,5,9,8,14,9,17,9,5,1,1,7,4,12,18,6,16,11,14,2,2,2,3,4,6,8,11,6,19,12,47,16,10,7,9,2,1,5,14,11,9,75,12,1,2,5,5,3,2,2,6,14,6,4,70,16,9,49,69,16,14,11,25,53,8,30,26,13,11,4,40,4,6,25,61,64,67,38,2,8,28,3,45,36,5,4,29,9,10,4,6,6,11,43,32,6,46,49,5,45
2011-10-03,2011-10-09,5,32,67,22,17,39,36,23,19,5,11,5,24,2,4,24,8,40,10,42,5,24,15,32,7,23,18,12,7,3,3,5,11,6,15,12,18,10,6,1,1,9,9,13,19,7,25,14,15,2,2,2,3,5,4,5,11,8,8,12,48,16,10,9,10,4,4,7,6,11,7,70,15,1,4,5,5,1,4,2,7,12,5,5,68,11,7,49,70,20,11,7,20,53,6,31,29,15,8,6,47,5,7,26,63,62,64,34,2,10,30,4,37,35,6,5,30,9,12,7,7,4,9,38,36,5,43,53,6,53
2011-10-10,2011-10-16,5,40,64,22,19,42,37,22,16,8,11,5,26,2,4,28,7,32,5,47,4,26,16,41,7,22,21,13,6,7,4,5,15,7,16,12,20,10,6,1,1,13,5,14,16,6,24,15,12,2,1,2,3,5,4,8,11,5,13,8,50,17,9,6,10,2,2,6,10,10,13,66,13,1,2,5,5,2,4,5,6,16,4,5,72,11,11,44,64,20,9,9,16,57,4,36,30,19,14,5,41,4,6,24,58,61,63,40,2,8,35,4,41,29,5,5,21,10,9,8,13,6,13,32,40,4,42,54,9,55
2011-10-17,2011-10-23,5,34,63,32,19,45,39,19,18,9,11,5,24,2,4,26,9,51,6,43,4,24,18,32,9,19,25,11,7,5,4,5,12,9,18,6,20,8,6,1,1,9,8,14,18,9,24,16,15,2,1,2,3,4,4,9,11,9,8,13,47,17,11,10,8,3,3,5,10,12,12,69,12,1,4,7,5,2,4,5,7,12,8,5,65,16,14,46,65,25,17,10,24,59,6,27,25,14,11,7,39,4,9,24,59,61,64,39,2,10,32,4,52,38,7,5,29,10,12,8,16,4,10,40,38,8,48,55,7,54
2011-10-24,2011-10-30,5,32,63,19,17,45,37,26,18,9,11,6,26,3,4,28,9,45,9,43,5,25,16,28,11,27,24,13,7,4,4,6,14,10,16,13,20,10,6,1,1,7,8,14,18,6,36,13,16,2,2,3,3,5,4,9,11,12,14,13,50,19,12,10,10,3,3,6,14,13,14,70,15,3,7,5,5,3,5,3,9,16,5,5,69,14,14,47,67,23,15,9,20,62,6,36,39,14,6,6,44,5,8,23,60,64,66,43,2,11,37,4,43,39,6,5,24,8,11,11,10,5,12,36,35,5,47,58,6,58
2011-10-31,2011-11-06,6,43,61,27,30,49,39,25,22,11,18,6,26,3,5,30,14,41,9,49,4,26,16,34,7,25,26,9,6,5,6,6,13,12,16,7,18,9,6,2,1,17,6,12,22,6,19,16,14,2,1,3,3,5,3,11,18,8,17,14,49,19,11,8,9,4,3,5,14,12,12,62,15,2,4,6,6,2,3,2,9,17,7,6,66,14,14,49,71,28,16,10,35,64,4,38,33,15,11,5,48,5,9,29,65,72,73,47,2,12,42,5,43,37,7,5,29,12,14,9,15,6,9,40,36,7,53,66,8,70
2011-11-07,2011-11-13,5,40,59,49,23,50,40,24,17,12,13,5,27,4,5,32,9,47,9,51,4,27,15,36,9,24,20,9,5,4,4,5,12,9,15,11,21,9,5,1,1,12,7,13,17,9,20,19,16,2,1,3,4,5,4,12,13,7,15,17,49,21,10,9,9,3,4,5,14,11,11,61,14,1,4,8,5,2,4,3,8,15,4,5,68,16,11,49,65,25,12,16,25,71,4,24,30,22,13,7,52,5,9,26,65,70,71,46,2,11,47,4,43,45,5,5,36,9,9,7,8,5,10,47,39,4,52,73,8,64
2011-11-14,2011-11-20,6,43,65,31,20,52,49,25,18,3,14,7,28,2,7,26,11,46,12,51,8,29,15,35,11,25,20,9,6,4,2,7,12,8,15,11,26,10,5,1,1,6,4,12,18,7,24,17,13,2,1,3,3,4,5,3,14,14,19,15,45,22,12,8,10,3,3,6,14,14,15,71,14,2,4,8,6,2,5,3,9,11,5,6,71,12,11,49,67,25,9,7,25,69,4,28,31,18,15,6,54,5,8,25,65,73,77,50,2,13,45,5,48,56,7,5,26,12,17,6,4,6,11,50,45,5,54,69,5,57
2011-11-21,2011-11-27,5,37,54,26,24,46,44,21,15,16,13,8,27,3,6,30,8,46,8,56,5,27,14,29,14,21,18,6,4,3,5,8,13,9,14,8,21,9,3,1,1,7,6,11,15,7,12,17,14,1,1,2,2,5,5,16,13,14,17,10,44,24,11,8,9,5,6,7,12,9,8,46,12,1,7,8,5,2,2,2,5,9,4,7,55,12,15,40,54,24,13,11,37,63,4,40,31,17,15,6,48,5,8,24,57,66,67,47,2,7,42,4,56,38,5,4,27,10,12,10,9,7,11,47,40,4,48,63,10,62
2011-11-28,2011-12-04,6,45,64,34,24,53,44,26,19,8,16,6,29,3,6,37,11,56,8,60,10,29,14,42,7,26,13,6,4,4,4,6,12,9,14,14,21,9,3,2,1,7,6,12,18,7,23,18,13,2,1,3,3,5,4,8,16,12,15,13,42,20,12,12,9,4,3,6,14,11,13,66,14,2,5,9,6,3,4,3,9,15,4,6,69,13,13,49,62,26,16,9,27,72,5,36,36,19,13,6,57,5,10,30,66,74,76,49,2,16,46,5,39,41,7,4,34,9,15,6,9,6,15,49,40,4,59,74,11,80
2011-12-05,2011-12-11,5,46,67,28,20,48,43,27,20,14,14,7,26,3,5,31,8,57,11,51,6,26,13,27,6,27,18,6,4,4,3,7,11,8,13,6,21,9,4,1,1,7,4,14,20,5,26,17,12,1,1,2,3,5,6,14,14,11,15,12,43,21,12,12,9,4,4,6,15,15,9,68,13,2,3,11,5,2,3,3,7,20,6,6,70,16,14,44,65,27,13,11,17,67,5,29,29,17,11,7,56,4,8,26,63,69,71,42,2,6,47,4,40,45,6,4,25,12,15,10,19,5,11,46,41,6,57,72,9,68
2011-12-12,2011-12-18,5,35,60,34,30,48,40,26,16,7,15,8,29,3,5,27,8,49,8,53,5,29,13,38,7,26,20,6,4,3,4,8,11,9,13,10,17,9,4,2,1,14,5,13,16,9,30,16,15,2,1,3,3,6,2,7,15,14,18,15,43,22,11,9,9,4,5,6,17,14,12,67,13,2,2,6,5,2,5,5,9,17,7,7,63,17,15,45,61,35,10,9,15,65,4,36,35,14,8,9,53,5,8,27,66,72,73,41,2,10,42,5,37,39,7,4,29,12,13,11,15,6,11,43,40,7,62,69,8,83
2011-12-19,2011-12-25,3,34,52,39,25,51,50,25,25,12,14,13,29,4,6,34,13,51,14,51,9,29,13,39,10,25,18,5,5,2,7,13,13,13,13,13,14,13,5,3,3,15,2,14,25,4,19,22,17,2,1,3,3,7,5,12,14,10,21,17,44,30,15,13,13,11,9,11,26,20,23,49,14,5,7,5,3,4,2,3,8,10,3,12,58,18,15,47,53,36,18,11,26,64,6,34,35,23,17,4,55,5,7,31,69,76,75,50,2,9,46,5,41,47,6,5,43,14,17,6,12,8,15,53,41,3,50,70,8,88
2011-12-26,2012-01-01,3,43,49,47,36,54,54,33,24,12,21,15,35,5,7,33,8,48,10,68,10,35,17,50,12,33,27,7,4,4,6,15,13,10,17,8,25,14,4,3,3,11,5,16,24,9,31,25,25,1,1,3,3,9,4,12,21,17,29,19,47,29,16,12,14,11,8,10,25,24,15,39,17,5,8,4,3,1,5,5,9,9,2,13,62,20,12,43,55,36,16,11,30,71,9,54,39,27,20,5,65,5,9,33,76,74,74,53,2,7,55,5,34,49,5,5,43,18,18,10,18,8,16,46,49,2,60,77,11,104
2012-01-02,2012-01-08,4,47,61,37,29,58,58,33,23,11,19,11,31,4,7,38,14,54,11,62,6,31,14,44,11,33,20,6,4,3,4,11,15,13,14,19,24,13,4,2,2,14,5,16,23,11,36,19,19,3,2,3,2,8,4,11,19,16,21,17,51,25,16,12,13,9,8,9,23,20,13,53,15,3,2,6,4,3,3,4,9,12,3,12,70,18,15,48,57,37,18,19,30,74,6,42,36,22,13,6,73,6,9,37,80,72,73,54,2,9,56,5,50,54,8,5,35,14,20,11,15,9,17,63,50,3,59,80,10,86
2012-01-09,2012-01-15,4,48,62,33,34,55,46,24,18,8,14,9,27,3,5,31,9,59,7,67,7,28,14,41,6,24,20,5,4,3,4,9,13,11,14,14,19,11,5,2,2,27,4,10,18,7,16,15,17,2,1,3,3,8,5,8,14,15,23,21,44,26,15,11,11,9,8,10,22,17,15,55,13,4,10,5,4,2,3,3,10,16,5,10,74,16,14,52,64,32,17,10,27,70,1,48,36,15,13,5,59,5,7,33,76,70,71,53,2,11,50,4,36,49,6,4,35,15,20,14,14,8,14,46,39,5,59,75,6,84
2012-01-16,2012-01-22,5,37,65,29,28,48,46,26,19,4,14,9,31,3,5,32,8,66,8,51,7,31,13,43,5,26,20,4,4,4,3,9,10,9,13,13,16,11,4,3,2,12,4,12,19,6,26,18,16,2,1,3,2,7,5,4,14,8,24,11,54,23,14,11,11,7,6,10,19,14,18,57,13,3,5,4,5,3,5,5,9,9,3,8,74,20,17,52,67,27,11,12,22,65,4,48,42,22,13,5,61,5,7,28,72,70,71,48,2,8,47,4,45,46,7,4,33,12,13,9,18,7,15,46,41,3,51,69,4,99
2012-01-23,2012-01-29,7,49,72,52,30,51,44,24,22,12,13,9,36,3,6,34,12,65,7,52,8,36,16,54,12,24,21,4,3,2,4,9,12,8,16,11,18,10,4,3,2,16,4,11,22,7,18,19,10,2,2,3,3,7,6,12,13,19,15,15,56,25,12,11,10,6,4,8,18,13,11,68,12,1,4,7,7,3,3,2,10,13,5,8,80,14,8,55,70,26,10,8,29,67,6,44,39,15,11,6,61,4,6,32,75,74,76,48,2,12,51,5,44,48,7,4,41,10,16,9,12,7,9,45,40,5,55,63,8,117
2012-01-30,2012-02-05,9,48,72,43,29,49,43,25,17,7,16,8,36,4,7,35,10,57,9,53,7,36,14,46,8,25,21,6,3,2,3,8,12,5,14,8,17,11,5,3,2,16,4,15,17,5,19,20,12,1,2,3,2,5,3,7,16,16,24,18,51,28,14,11,11,8,6,9,27,14,14,65,15,2,5,5,9,3,5,5,12,17,8,7,75,18,12,60,76,25,13,10,25,71,4,38,35,17,15,9,54,5,9,31,78,79,81,51,2,14,54,5,49,48,8,4,36,12,13,8,10,5,11,47,42,8,63,72,6,137
2012-02-06,2012-02-12,10,50,68,32,28,53,51,25,18,10,14,9,38,4,6,39,8,55,8,57,4,38,14,45,8,25,17,5,3,4,3,9,13,8,14,9,18,11,4,2,2,22,5,13,18,9,24,19,20,1,1,3,3,7,4,10,14,13,21,16,59,26,14,15,11,6,6,8,17,15,15,68,14,2,3,9,10,6,3,6,15,20,14,8,82,19,14,55,70,25,15,9,23,70,7,51,44,21,13,11,50,5,7,34,79,81,85,52,2,14,51,5,45,47,7,4,34,13,17,7,9,8,14,43,38,14,58,69,8,177
2012-02-13,2012-02-19,11,54,70,40,35,55,51,26,20,8,16,10,40,4,6,45,9,62,11,59,8,40,16,45,13,26,23,6,4,3,8,10,15,11,16,8,24,13,4,3,2,17,6,17,20,8,25,23,16,3,1,3,4,7,7,8,16,20,25,21,56,30,17,15,13,7,7,11,28,16,13,74,18,3,5,13,11,4,8,6,15,23,15,10,75,18,17,56,70,28,16,13,44,73,5,50,45,19,17,7,50,6,9,39,79,82,82,58,2,15,55,5,44,46,7,5,38,13,16,10,10,7,10,50,43,15,62,73,9,270
2012-02-20,2012-02-26,14,48,69,35,40,55,47,27,23,5,13,12,45,4,7,36,13,58,13,58,9,45,19,59,7,27,28,6,4,2,6,12,17,13,19,10,24,14,4,3,2,18,8,13,23,7,23,25,19,3,1,3,3,7,6,5,13,17,22,19,62,29,19,15,14,7,8,11,24,16,18,60,17,4,8,20,14,7,10,9,18,20,24,10,77,21,19,50,71,26,9,11,34,74,4,59,49,24,17,9,50,5,10,38,82,82,84,53,2,16,55,5,40,46,9,5,44,14,18,14,17,6,22,44,38,24,65,69,20,350
